,round_epochs,val_loss,val_acc,val_f1score,loss,acc,f1score,activation,batch_size,dropout,epochs,first_neuron,kernel_initializer,last_activation,losses,optimizer
96,30,0.002952632842724483,0.9955954551696777,0.9950336813926697,0.0032274593873741144,0.9948258996009827,0.9946988224983215,elu,60,0.0,30,34,uniform,sigmoid,mean_squared_error,adadelta
97,30,0.007714383209338041,0.9974714517593384,0.9974735379219055,0.012055003123809497,0.9964340925216675,0.9964176416397095,elu,30,0.1,30,34,normal,softmax,categorical_crossentropy,adadelta
98,50,0.00042176546688579874,0.9995105862617493,0.9995110630989075,0.0005460827927437032,0.9992658495903015,0.9992130398750305,relu,30,0.0,50,40,normal,softmax,mean_squared_error,adadelta
99,30,0.003955252581719626,0.9985318183898926,0.9985330700874329,0.0024652289234210955,0.9992308616638184,0.9992313385009766,elu,30,0.0,30,34,normal,softmax,categorical_crossentropy,Nadam
100,50,,0.35676997900009155,,,0.3498811423778534,,elu,60,0.2,50,34,normal,sigmoid,categorical_crossentropy,Adam
101,50,0.009097754379060831,0.9963295459747314,0.9963415861129761,0.011766916188314014,0.9961893558502197,0.9962091445922852,elu,60,0.2,50,28,normal,softmax,categorical_crossentropy,adadelta
102,10,0.026580362300978,0.9907014966011047,0.9908115863800049,0.0340084274944733,0.988393247127533,0.9884036779403687,relu,60,0.1,10,16,normal,softmax,categorical_crossentropy,Adam
103,40,0.0015226833989919878,0.9976345896720886,0.9976423978805542,0.002377551222630471,0.9958047866821289,0.9957894086837769,elu,60,0.1,40,22,uniform,softmax,mean_squared_error,adadelta
104,60,0.005019836820896847,0.9987764954566956,0.9987804889678955,0.006094094770291337,0.9983918070793152,0.9983753561973572,relu,60,0.0,60,10,normal,softmax,categorical_crossentropy,adadelta
105,30,0.009451918200620179,0.9961664080619812,0.7988320589065552,0.017064510673341707,0.9938820004463196,0.7915992736816406,relu,30,0.2,30,16,uniform,sigmoid,categorical_crossentropy,Adam
106,20,0.0051603271560606715,0.9901304841041565,0.9902073740959167,0.0056822943551510935,0.9900712966918945,0.9901453256607056,elu,128,0.1,20,10,normal,softmax,mean_squared_error,Adam
